Energy A-numu      A-anumu     A-average   
 1.0875 0           0           0           
 1.2625 0           0           0           
 1.4375 0           0           0           
 1.6125 0           0           0           
 1.7875 0           0           0           
 1.9625 2.51561e-06 2.48298e-06 2.49929e-06 
 2.1375 2.96708e-05 2.0226e-05  2.49484e-05 
 2.3125 0.000128338 8.78358e-05 0.000108087 
 2.4875 0.00048131  0.000299043 0.000390176 
 2.6625 0.00143316  0.00087996  0.00115656  
 2.8375 0.00376526  0.002414    0.00308963  
 3.0125 0.0095595   0.00620089  0.0078802   
 3.1875 0.0238645   0.0151987   0.0195316   
 3.3625 0.0535404   0.0363847   0.0449626   
 3.5375 0.116327    0.0818586   0.0990929   
 3.7125 0.244703    0.174745    0.209724    
 3.8875 0.488829    0.36414     0.426484    
 4.0625 0.926729    0.725135    0.825932    
 4.2375 1.68082     1.36009     1.52045     
 4.4125 2.86666     2.40156     2.63411     
 4.5875 4.62566     4.02595     4.32581     
 4.7625 7.11396     6.29074     6.70235     
 4.9375 10.323      9.45549     9.88924     
 5.1125 14.67       13.6504     14.1602     
 5.2875 19.8538     18.3922     19.123      
 5.4625 26.262      25.3851     25.8236     
 5.6375 34.2255     33.4956     33.8606     
 5.8125 43.4447     42.5682     43.0064     
 5.9875 55.1825     55.2802     55.2314     
 6.1625 67.8356     67.6234     67.7295     
 6.3375 83.1795     83.6588     83.4192     
 6.5125 103.103     102.426     102.764     
 6.6875 125.345     124.36      124.852     
 6.8625 150.367     149.185     149.776     
 7.0375 179.414     177.404     178.409     
 7.2125 217.563     219.501     218.532     
 7.3875 255.213     263.617     259.415     
 7.5625 297.819     303.489     300.654     
 7.7375 372.685     362.328     367.507     
 7.9125 425.39      417.167     421.278 
