 Energy A-numu      A-anumu     A-average   
 1.0875 0           0           0           
 1.2625 0           0           0           
 1.4375 0           0           0           
 1.6125 0           0           0           
 1.7875 0           0           0           
 1.9625 1.43512e-06 1.58375e-06 1.50943e-06 
 2.1375 1.99853e-05 1.27045e-05 1.63449e-05 
 2.3125 0.000113045 6.95909e-05 9.13178e-05 
 2.4875 0.000427336 0.000249525 0.000338431 
 2.6625 0.00127621  0.000788495 0.00103235  
 2.8375 0.00357298  0.00229624  0.00293461  
 3.0125 0.00973595  0.00585697  0.00779646  
 3.1875 0.0233867   0.0150647   0.0192257   
 3.3625 0.0543392   0.0362275   0.0452834   
 3.5375 0.121787    0.0828853   0.102336    
 3.7125 0.255218    0.185126    0.220172    
 3.8875 0.512361    0.37554     0.44395     
 4.0625 0.973958    0.749731    0.861844    
 4.2375 1.69252     1.38919     1.54085     
 4.4125 2.90656     2.38905     2.64781     
 4.5875 4.60973     3.90525     4.25749     
 4.7625 6.9849      6.16818     6.57654     
 4.9375 9.8316      9.02123     9.42642     
 5.1125 13.3069     12.5863     12.9466     
 5.2875 17.3567     16.4438     16.9002     
 5.4625 21.4826     21.1571     21.3198     
 5.6375 26.1097     25.6881     25.8989     
 5.8125 29.5078     29.8217     29.6648     
 5.9875 33.4387     32.872      33.1554     
 6.1625 35.0065     36.1222     35.5644     
 6.3375 35.1739     35.8145     35.4942     
 6.5125 33.536      34.2514     33.8937     
 6.6875 31.26       31.8565     31.5582     
 6.8625 27.0883     28.5142     27.8012     
 7.0375 22.0426     22.6596     22.3511     
 7.2125 16.8806     17.4836     17.1821     
 7.3875 12.3647     12.5196     12.4421     
 7.5625 8.42062     8.26381     8.34222     
 7.7375 5.12834     5.11239     5.12037     
 7.9125 2.94265     2.9087      2.92568  
