 Energy A-numu      A-anumu     A-average   
 1.0875 0           0           0           
 1.2625 0           0           0           
 1.4375 0           0           0           
 1.6125 0           0           0           
 1.7875 0           0           0           
 1.9625 1.29962e-07 3.03572e-07 2.16767e-07 
 2.1375 7.77849e-06 4.42193e-06 6.10021e-06 
 2.3125 4.07891e-05 2.51067e-05 3.29479e-05 
 2.4875 0.00015235  9.0409e-05  0.000121379 
 2.6625 0.000469583 0.000295569 0.000382576 
 2.8375 0.00139026  0.000856001 0.00112313  
 3.0125 0.0038703   0.00226951  0.0030699   
 3.1875 0.0089795   0.00602771  0.0075036   
 3.3625 0.0222718   0.0150508   0.0186613   
 3.5375 0.0521247   0.0356855   0.0439051   
 3.7125 0.111141    0.079831    0.0954862   
 3.8875 0.233598    0.171529    0.202564    
 4.0625 0.460962    0.35414     0.407551    
 4.2375 0.844358    0.678223    0.761291    
 4.4125 1.47969     1.21538     1.34754     
 4.5875 2.44589     2.07474     2.26031     
 4.7625 3.80809     3.3339      3.57099     
 4.9375 5.57514     5.06517     5.32015     
 5.1125 8.01437     7.34981     7.68209     
 5.2875 10.8495     10.0381     10.4438     
 5.4625 14.2469     13.7915     14.0192     
 5.6375 18.6145     18.1458     18.3801     
 5.8125 23.1361     22.7646     22.9503     
 5.9875 28.8043     28.3948     28.5995     
 6.1625 34.3555     34.5072     34.4314     
 6.3375 40.7483     41.0901     40.9192     
 6.5125 47.955      47.5194     47.7372     
 6.6875 55.9102     56.0176     55.9639     
 6.8625 64.8645     64.3928     64.6286     
 7.0375 74.3161     74.9019     74.609      
 7.2125 86.2628     86.4918     86.3773     
 7.3875 98.7944     100.53      99.6623     
 7.5625 115.058     114.634     114.846     
 7.7375 137.158     133.199     135.178     
 7.9125 156.412     153.713     155.063   
