log10(nu_E[GeV]),aeff[m^2]
1.025,0.0
1.075,0.0
1.125,0.0
1.1749999999999998,0.0
1.225,0.0
1.275,0.0
1.325,0.0
1.375,0.0
1.4249999999999998,0.0
1.475,0.0
1.525,0.0
1.575,0.0
1.625,0.0
1.6749999999999998,0.0
1.725,0.0
1.775,0.0
1.825,0.0
1.875,0.0
1.925,0.0
1.975,0.0
2.025,7.691961989617833e-05
2.075,0.00014775659117567308
2.125,0.00027316459259203995
2.1750000000000003,0.0005335828899836649
2.225,0.0008389091571277733
2.275,0.0014174487068187333
2.325,0.0021931424758612488
2.375,0.0033541221207373283
2.4250000000000003,0.005121760259088109
2.475,0.007224205689137368
2.525,0.010355877642144976
2.575,0.014070714520632964
2.625,0.020314952909437148
2.6750000000000003,0.026625005194558998
2.725,0.03670455067819696
2.775,0.047626077923803516
2.825,0.06125725438056586
2.875,0.07999032777373946
2.9250000000000003,0.1020836262712096
2.975,0.13401109715613366
3.025,0.16515444761609469
3.075,0.2117456041205427
3.125,0.2694470009059473
3.175,0.3300309239557223
3.225,0.407372591296183
3.275,0.5070936280047523
3.325,0.6290351948542684
3.375,0.7698288218947748
3.4250000000000003,0.9326858681940542
3.475,1.1567589544426304
3.525,1.3703879741109106
3.575,1.651103049035583
3.625,1.9466079407895769
3.675,2.3157632473594374
3.725,2.7706514691728836
3.775,3.311375803826064
3.825,3.928026498627013
3.875,4.506028640614583
3.925,5.332748467099354
3.975,6.257670589882113
4.025,7.210064541814649
4.075000000000001,8.374254286313844
4.125,9.66579437434496
4.175000000000002,11.00130432629385
4.2250000000000005,12.55194995102694
4.275,14.341176874099672
4.325000000000001,16.223003967704546
4.375,18.53258725201006
4.425000000000002,21.22187691883687
4.4750000000000005,23.187483825462074
4.525,25.655984012630654
4.575000000000001,29.51066917291905
4.625,32.78517583069962
4.675000000000002,35.91823458320675
4.7250000000000005,39.298777442258604
4.775,43.45515759605227
4.825000000000001,48.36682812825159
4.875,53.00869756285783
4.925000000000002,56.59327196631839
4.9750000000000005,62.485451737134774
5.025,68.35142363779826
5.075,73.08807546869043
5.125000000000001,79.72024127774166
5.175000000000002,85.54849073060757
5.2250000000000005,90.62208524192896
5.275,97.59384906627665
5.325,104.86173125252085
5.375000000000001,113.63959515903332
5.425000000000002,120.56275064715473
5.4750000000000005,129.15856938479408
5.525,139.3850163495505
5.575,147.1447642132314
5.625000000000001,154.63810371777893
5.675000000000002,163.3327763524365
5.7250000000000005,173.42979202252172
5.775,185.9562100382088
5.825000000000001,194.4618587950016
5.875000000000001,208.48698724256369
5.925000000000002,214.80797560381626
5.9750000000000005,237.9718184205748
6.025,239.6469601558587
6.075000000000001,261.3420534902156
6.125000000000001,272.5780540907798
6.175000000000002,280.0917087643869
6.2250000000000005,291.32103047884704
6.275,315.42193527961604
6.325000000000001,323.90222767249327
6.375000000000001,349.56754791474395
6.425000000000002,353.88634765851845
6.4750000000000005,385.0112118860865
6.525,406.46631337505465
6.575000000000001,407.841399583013
6.625000000000001,437.0651426532599
6.675000000000002,442.7539358020678
6.7250000000000005,474.81680356830356
6.775,502.4885062600975
6.825000000000001,511.75322629382526
6.875000000000001,562.3596182404312
6.925000000000002,550.8399254056819
6.9750000000000005,568.7212855295081
7.025,629.4013441537694
7.075000000000001,657.9846150563243
7.125000000000001,695.3820860501959
7.175000000000002,700.0286529040604
7.225,747.9327787645158
7.275,804.4062866365526
7.325000000000001,798.4144984299063
7.375000000000001,886.1506559322836
7.425000000000002,885.3684280228006
7.475,947.5197912536339
7.525,932.6256958900085
7.575000000000001,1025.9905132733127
7.625000000000001,1064.888481483379
7.675000000000002,1085.6049444680252
7.725,1168.3460461102009
7.775,1157.5157430040522
7.825000000000001,1256.6026516344593
7.875000000000001,1310.3328189516317
7.925000000000002,1371.7654999957272
7.975,1295.9055472468824


