 Energy A-numu      A-anumu     A-average   
 1.0875 0           0           0           
 1.2625 0           0           0           
 1.4375 0           0           0           
 1.6125 0           0           0           
 1.7875 0           0           0           
 1.9625 0           0           0           
 2.1375 1.61031e-07 1.75397e-07 1.68214e-07 
 2.3125 1.64867e-07 6.76682e-07 4.20774e-07 
 2.4875 6.12774e-06 3.90302e-06 5.01538e-06 
 2.6625 2.27985e-05 1.62224e-05 1.95104e-05 
 2.8375 8.41554e-05 4.90173e-05 6.65864e-05 
 3.0125 0.000260296 0.000121906 0.000191101 
 3.1875 0.000582732 0.000347971 0.000465352 
 3.3625 0.00162351  0.000969848 0.00129668  
 3.5375 0.00370026  0.00276124  0.00323075  
 3.7125 0.0096392   0.00663788  0.00813854  
 3.8875 0.0232665   0.0156391   0.0194528   
 4.0625 0.0487409   0.0369715   0.0428562   
 4.2375 0.0999873   0.0778795   0.0889334   
 4.4125 0.177633    0.148141    0.162887    
 4.5875 0.323322    0.27893     0.301126    
 4.7625 0.546899    0.460752    0.503826    
 4.9375 0.855459    0.752417    0.803938    
 5.1125 1.3343      1.20069     1.26749     
 5.2875 1.90487     1.73588     1.82038     
 5.4625 2.71488     2.63904     2.67696     
 5.6375 3.96241     3.73729     3.84985     
 5.8125 5.24274     5.21203     5.22738     
 5.9875 7.23889     7.40536     7.32213     
 6.1625 9.96618     9.76674     9.86646     
 6.3375 13.0299     13.3475     13.1887     
 6.5125 17.9169     17.1278     17.5224     
 6.6875 22.8492     23.0361     22.9427     
 6.8625 29.6288     30.1202     29.8745     
 7.0375 37.7952     37.9472     37.8712     
 7.2125 48.6733     48.6214     48.6474     
 7.3875 61.7954     60.9606     61.378      
 7.5625 76.991      75.7601     76.3756     
 7.7375 100.156     95.1612     97.6587     
 7.9125 114.894     116.539     115.716 
