 Energy A-numu      A-anumu     A-average   
 1.0875 0           0           0           
 1.2625 0           0           0           
 1.4375 0           0           0           
 1.6125 0           0           0           
 1.7875 0           0           0           
 1.9625 1.26703e-06 1.06196e-06 1.16449e-06 
 2.1375 1.46812e-05 9.68869e-06 1.2185e-05  
 2.3125 6.59642e-05 4.25855e-05 5.42749e-05 
 2.4875 0.000244244 0.000146356 0.0001953   
 2.6625 0.000734363 0.000448633 0.000591498 
 2.8375 0.00203291  0.00127132  0.00165212  
 3.0125 0.00530633  0.00333488  0.0043206   
 3.1875 0.0132235   0.0082788   0.0107512   
 3.3625 0.0299459   0.0200667   0.0250063   
 3.5375 0.0660302   0.0456183   0.0558243   
 3.7125 0.137999    0.0978522   0.117926    
 3.8875 0.276341    0.203612    0.239976    
 4.0625 0.521769    0.404399    0.463084    
 4.2375 0.94013     0.759255    0.849693    
 4.4125 1.60857     1.33522     1.4719      
 4.5875 2.58886     2.21509     2.40197     
 4.7625 3.95047     3.48012     3.7153      
 4.9375 5.71052     5.20573     5.45813     
 5.1125 8.02267     7.45237     7.73752     
 5.2875 10.7733     10.0653     10.4193     
 5.4625 14.1041     13.6526     13.8784     
 5.6375 18.11       17.7173     17.9137     
 5.8125 22.6003     22.148      22.3742     
 5.9875 28.0048     27.5994     27.8021     
 6.1625 33.3139     33.404      33.359      
 6.3375 39.7573     39.8322     39.7947     
 6.5125 46.6306     46.6303     46.6305     
 6.6875 54.6487     54.1973     54.423      
 6.8625 62.7613     62.2218     62.4915     
 7.0375 71.5259     71.9446     71.7353     
 7.2125 82.6276     83.1351     82.8814     
 7.3875 92.4075     95.1594     93.7834     
 7.5625 104.795     106.002     105.398     
 7.7375 123.905     121.171     122.538     
 7.9125 137.345     135.271     136.308   
