  Energy A-numu      A-anumu     A-average   
 1.0875 0           0           0           
 1.2625 0           0           0           
 1.4375 0           0           0           
 1.6125 0           0           0           
 1.7875 0           0           0           
 1.9625 0           0           0           
 2.1375 0           0           0           
 2.3125 0           0           0           
 2.4875 0           0           0           
 2.6625 0           0           0           
 2.8375 2.38276e-06 1.8354e-06  2.10908e-06 
 3.0125 3.02333e-05 4.2441e-06  1.72387e-05 
 3.1875 7.94788e-05 6.07958e-06 4.27792e-05 
 3.3625 0.000202785 8.54893e-05 0.000144137 
 3.5375 0.0002236   0.000181484 0.000202542 
 3.7125 0.000734832 0.000645615 0.000690223 
 3.8875 0.00297963  0.00116047  0.00207005  
 4.0625 0.00499688  0.00291759  0.00395723  
 4.2375 0.0145444   0.00724675  0.0108956   
 4.4125 0.0252228   0.0146395   0.0199312   
 4.5875 0.0491775   0.032845    0.0410112   
 4.7625 0.0750154   0.0472026   0.061109    
 4.9375 0.126198    0.0937443   0.109971    
 5.1125 0.20902     0.191606    0.200313    
 5.2875 0.302068    0.291662    0.296865    
 5.4625 0.52622     0.481226    0.503723    
 5.6375 0.798362    0.661205    0.729784    
 5.8125 1.17285     1.1745      1.17367     
 5.9875 1.59325     1.52032     1.55678     
 6.1625 2.48966     2.30922     2.39944     
 6.3375 2.91764     3.1981      3.05787     
 6.5125 3.92986     4.2208      4.07533     
 6.6875 5.6832      6.02887     5.85603     
 6.8625 8.46321     7.93757     8.20039     
 7.0375 11.8002     10.7239     11.2621     
 7.2125 13.1562     13.1034     13.1298     
 7.3875 15.9282     18.731      17.3296     
 7.5625 24.1795     23.6762     23.9279     
 7.7375 31.1404     27.4365     29.2884     
 7.9125 34.6073     34.0233     34.3153 
