 Energy A-numu      A-anumu     A-average   
 1.0875 0           0           0           
 1.2625 0           0           0           
 1.4375 0           0           0           
 1.6125 0           0           0           
 1.7875 0           0           0           
 1.9625 0           0           0           
 2.1375 0           0           0           
 2.3125 0           0           0           
 2.4875 0           0           0           
 2.6625 0           0           0           
 2.8375 0           0           0           
 3.0125 7.51678e-06 4.2441e-06  5.88044e-06 
 3.1875 6.35625e-05 0           3.17813e-05 
 3.3625 4.13195e-05 5.34736e-05 4.73966e-05 
 3.5375 1.60738e-05 1.99076e-05 1.79907e-05 
 3.7125 0.000269249 0.000130985 0.000200117 
 3.8875 0.00094044  0.00041724  0.00067884  
 4.0625 0.00304789  0.00123142  0.00213966  
 4.2375 0.00693139  0.00212825  0.00452982  
 4.4125 0.0153986   0.00640378  0.0109012   
 4.5875 0.0291271   0.0150657   0.0220964   
 4.7625 0.0403958   0.0228711   0.0316334   
 4.9375 0.0710133   0.0581376   0.0645754   
 5.1125 0.109592    0.104873    0.107233    
 5.2875 0.173236    0.173177    0.173207    
 5.4625 0.318402    0.299399    0.3089      
 5.6375 0.480232    0.400993    0.440612    
 5.8125 0.782013    0.75626     0.769137    
 5.9875 1.00465     0.971904    0.988278    
 6.1625 1.6569      1.52796     1.59243     
 6.3375 2.00763     2.14003     2.07383     
 6.5125 2.80815     3.06688     2.93751     
 6.6875 3.91804     4.51113     4.21458     
 6.8625 6.16032     5.77637     5.96834     
 7.0375 8.97447     8.11193     8.5432      
 7.2125 9.97454     9.64778     9.81116     
 7.3875 11.4098     14.4654     12.9376     
 7.5625 19.4393     17.188      18.3137     
 7.7375 22.7563     22.3073     22.5318     
 7.9125 28.2182     25.7987     27.0084   
