 Energy A-numu      A-anumu     A-average   
 1.0875 0           0           0           
 1.2625 0           0           0           
 1.4375 0           0           0           
 1.6125 0           0           0           
 1.7875 0           0           0           
 1.9625 3.41973e-06 2.33846e-06 2.87909e-06 
 2.1375 2.78045e-05 2.05075e-05 2.4156e-05  
 2.3125 0.000136217 8.59768e-05 0.000111097 
 2.4875 0.000489149 0.000301708 0.000395428 
 2.6625 0.00150866  0.000914664 0.00121166  
 2.8375 0.00404984  0.00259514  0.00332249  
 3.0125 0.0105141   0.00676611  0.00864009  
 3.1875 0.0263192   0.0165781   0.0214486   
 3.3625 0.058958    0.0397578   0.0493579   
 3.5375 0.130102    0.0891631   0.109632    
 3.7125 0.267857    0.189967    0.228912    
 3.8875 0.535392    0.397457    0.466425    
 4.0625 1.00031     0.780653    0.890481    
 4.2375 1.80325     1.45361     1.62843     
 4.4125 3.06509     2.55189     2.80849     
 4.5875 4.92678     4.20594     4.56636     
 4.7625 7.45315     6.60196     7.02755     
 4.9375 10.7049     9.82945     10.2672     
 5.1125 14.9583     13.9429     14.4506     
 5.2875 20.1806     18.8816     19.5311     
 5.4625 26.3316     25.5001     25.9159     
 5.6375 33.7967     33.2125     33.5046     
 5.8125 42.568      41.5452     42.0566     
 5.9875 52.9445     51.6313     52.2879     
 6.1625 63.4708     63.8122     63.6415     
 6.3375 76.3894     76.6157     76.5025     
 6.5125 90.2338     90.1364     90.1851     
 6.6875 107.935     105.82      106.877     
 6.8625 124.487     121.305     122.896     
 7.0375 142.604     144.988     143.796     
 7.2125 164.477     165.217     164.847     
 7.3875 181.726     190.203     185.964     
 7.5625 210.414     209.042     209.728     
 7.7375 240.833     236.768     238.801     
 7.9125 270.981     263.156     267.068  
