 Energy A-numu      A-anumu     A-average   
 1.0875 0           0           0           
 1.2625 0           0           0           
 1.4375 0           0           0           
 1.6125 0           0           0           
 1.7875 0           0           0           
 1.9625 2.67834e-06 1.99072e-06 2.33453e-06 
 2.1375 2.43681e-05 1.8624e-05  2.14961e-05 
 2.3125 0.000126118 8.09236e-05 0.000103521 
 2.4875 0.000457514 0.000283982 0.000370748 
 2.6625 0.00141771  0.000864029 0.00114087  
 2.8375 0.00373127  0.00243681  0.00308404  
 3.0125 0.00958041  0.00624538  0.00791289  
 3.1875 0.0240194   0.0154546   0.019737    
 3.3625 0.0537641   0.0367608   0.0452624   
 3.5375 0.120149    0.0826755   0.101412    
 3.7125 0.248152    0.177776    0.212964    
 3.8875 0.501111    0.373302    0.437206    
 4.0625 0.941277    0.737904    0.83959     
 4.2375 1.70564     1.37779     1.54172     
 4.4125 2.90145     2.42066     2.66106     
 4.5875 4.69412     4.01639     4.35525     
 4.7625 7.10029     6.30906     6.70467     
 4.9375 10.2004     9.404       9.80223     
 5.1125 14.291      13.3054     13.7982     
 5.2875 19.249      18.0094     18.6292     
 5.4625 25.0944     24.2713     24.6829     
 5.6375 32.3064     31.7564     32.0314     
 5.8125 40.4576     39.7043     40.0809     
 5.9875 50.5233     49.1864     49.8549     
 6.1625 60.1573     60.7045     60.4309     
 6.3375 72.454      72.7293     72.5916     
 6.5125 85.5634     85.646      85.6047     
 6.6875 102.656     100.508     101.582     
 6.8625 118.216     114.342     116.279     
 7.0375 134.502     137.458     135.98      
 7.2125 155.253     155.535     155.394     
 7.3875 171.092     179.425     175.258     
 7.5625 197.564     196.519     197.041     
 7.7375 225.589     222.095     223.842     
 7.9125 256.159     247.977     252.068 
