Energy A-numu      A-anumu     A-average   
 1.0875 0           0           0           
 1.2625 0           0           0           
 1.4375 0           0           0           
 1.6125 0           0           0           
 1.7875 0           0           0           
 1.9625 0           0           0           
 2.1375 5.41064e-07 6.1323e-07  5.77147e-07 
 2.3125 5.53953e-07 2.07116e-06 1.31256e-06 
 2.4875 2.03015e-05 1.30784e-05 1.669e-05   
 2.6625 7.3043e-05  5.24582e-05 6.27506e-05 
 2.8375 0.000270683 0.000159817 0.00021525  
 3.0125 0.000817911 0.000407938 0.000612924 
 3.1875 0.00190874  0.00117377  0.00154125  
 3.3625 0.005236    0.00317326  0.00420463  
 3.5375 0.0118934   0.009084    0.0104887   
 3.7125 0.0311301   0.0215532   0.0263417   
 3.8875 0.0745693   0.0512261   0.0628977   
 4.0625 0.157934    0.121465    0.1397      
 4.2375 0.324889    0.253307    0.289098    
 4.4125 0.575685    0.485932    0.530809    
 4.5875 1.05545     0.914711    0.985079    
 4.7625 1.78028     1.51465     1.64746     
 4.9375 2.78878     2.46807     2.62843     
 5.1125 4.34141     3.92051     4.13096     
 5.2875 6.24123     5.67312     5.95718     
 5.4625 8.81697     8.58693     8.70195     
 5.6375 12.8559     12.1903     12.5231     
 5.8125 16.9816     16.895      16.9383     
 5.9875 23.3758     24.0758     23.7258     
 6.1625 32.1449     31.5681     31.8565     
 6.3375 41.9656     42.913      42.4393     
 6.5125 57.8494     55.1069     56.4782     
 6.6875 73.3537     73.9214     73.6376     
 6.8625 94.5591     96.4872     95.5232     
 7.0375 120.175     121.051     120.613     
 7.2125 154.619     155.042     154.831     
 7.3875 197.77      192.939     195.354     
 7.5625 243.616     238.829     241.223     
 7.7375 316.263     300.636     308.449     
 7.9125 362.92      367.506     365.213   
