 Energy A-numu      A-anumu     A-average   
 1.0875 0           0           0           
 1.2625 0           0           0           
 1.4375 0           0           0           
 1.6125 0           0           0           
 1.7875 0           0           0           
 1.9625 1.92932e-06 1.42529e-06 1.6773e-06  
 2.1375 1.6991e-05  1.29936e-05 1.49923e-05 
 2.3125 8.55066e-05 5.54902e-05 7.04984e-05 
 2.4875 0.000313287 0.000193406 0.000253346 
 2.6625 0.00095356  0.000583107 0.000768333 
 2.8375 0.00253961  0.00163307  0.00208634  
 3.0125 0.00645153  0.00417443  0.00531298  
 3.1875 0.0158097   0.0101934   0.0130016   
 3.3625 0.035211    0.0239969   0.0296039   
 3.5375 0.0772712   0.0532648   0.065268    
 3.7125 0.158873    0.113192    0.136032    
 3.8875 0.316767    0.234201    0.275484    
 4.0625 0.585258    0.458915    0.522086    
 4.2375 1.0435      0.846006    0.944752    
 4.4125 1.74911     1.47114     1.61012     
 4.5875 2.80233     2.42149     2.61191     
 4.7625 4.19444     3.74673     3.97058     
 4.9375 5.97925     5.5187      5.74898     
 5.1125 8.26206     7.74312     8.00259     
 5.2875 10.9206     10.3376     10.6291     
 5.4625 14.0486     13.7473     13.898      
 5.6375 17.9433     17.589      17.7662     
 5.8125 21.94       21.6918     21.8159     
 5.9875 27.0286     26.7713     26.8999     
 6.1625 32.1942     32.3153     32.2547     
 6.3375 38.3497     38.6817     38.5157     
 6.5125 45.5769     45.24       45.4085     
 6.6875 53.8178     53.9608     53.8893     
 6.8625 63.2793     62.619      62.9491     
 7.0375 73.573      74.0833     73.8281     
 7.2125 86.6838     86.587      86.6354     
 7.3875 100.191     102.018     101.104     
 7.5625 117.681     116.616     117.148     
 7.7375 141.219     136.509     138.864     
 7.9125 160.78      158.27      159.525 
