"Obj. ID","IAU name","Internal name/s","RA","DEC","Obj. Type","Redshift","Host name","Host redshift","Contrubuting group","Public","Associated groups","End prop. period","Spec. no.","LCs/Phot. no.","Discovery date","Peak-light date","Bibcode","Multi-type","Type-unclear","Remarks","Created by","Creation date","Modified by","Last-modified date"
"27757","SN 2025ftr","GOTO25bie, ZTF25aakqyxk","156.5122153","-3.4156909","SN IIP","0.034","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2025-03-28 10:10:05","TNS_Bot1","2025-03-28 10:10:05"
"28235","SN 2025evv","GOTO25bea, ATLAS25cug","156.546241667","-45.7295966667","SN IIP","0.0159","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2025-05-28 01:30:05","TNS_Bot1","2025-05-28 01:30:05"
"27767","SN 2025dux","BGEM J121400.14+243830.2, GOTO25bah, ATLAS25cnr","183.500612","24.641744","SN IIP","0.02","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2025-03-29 10:10:09","TNS_Bot1","2025-03-29 10:10:09"
"27549","SN 2025cem","ATLAS25bux","182.676216","13.332302","SN IIP","0.02267","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2025-02-21 15:10:05","TNS_Bot1","2025-02-21 15:10:05"
"27378","SN 2024adsy","ZTF25aaaszht, ATLAS24rim, GOTO24iwu","175.563709","19.065","SN IIP","0.024","","","ePESSTO+, TNS","Y","ePESSTO+, TNS","","1","0/0","","","","N","N","","WIS_Bot1","2025-01-24 10:52:06","WIS_Bot1","2025-01-24 10:52:06"
"26998","SN 2024abxo","","89.3736363636","-29.9620963636","SN IIP","0.027799","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-12-24 17:18:57","TNS_Bot1","2024-12-24 17:18:57"
"26535","SN 2024ablg","BGEM J054409.82-512440.9, Gaia25adt, GOTO24iig, ATLAS24qgc","86.040738","-51.411406","SN IIP","0.052","","","ePESSTO+, TNS","Y","ePESSTO+, TNS","","1","0/0","","","","N","N","","WIS_Bot1","2024-11-21 12:46:10","Dr Ofer Yaron","2025-02-06 10:59:48"
"27038","SN 2024aaqs","","7.05697049913","30.8047356344","SN IIP","0.02126","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-12-24 17:18:57","TNS_Bot1","2024-12-24 17:18:57"
"26900","SN 2024zxb","","76.9412218547","16.1004338506","SN IIP","0.04","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-12-24 17:18:57","TNS_Bot1","2024-12-24 17:18:57"
"26712","SN 2024xui","","9.860387","1.34425","SN IIP","0.06","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-12-24 17:18:57","TNS_Bot1","2024-12-24 17:18:57"
"26692","SN 2024xav","","49.9471097536","41.5146086602","SN IIP","0.02","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-12-24 17:18:57","TNS_Bot1","2024-12-24 17:18:57"
"26187","SN 2024tcz","PS24ikb, GOTO24fdq, ATLAS24nkz","292.6901612","53.8836711678","SN IIP","0.013","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-09-07 11:10:04","TNS_Bot1","2024-09-07 11:10:04"
"25931","SN 2024rua","ATLAS24mql","51.1652433333","16.0815983333","SN IIP","0.05","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-08-11 15:10:04","TNS_Bot1","2024-08-11 15:10:04"
"25817","SN 2024pto","ATLAS24lnq","43.484765","42.154065","SN IIP","0.053","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-07-26 15:10:04","TNS_Bot1","2024-07-26 15:10:04"
"26189","SN 2024pll","ZTF24aaxqoeo, GOTO24dpi, ATLAS24lfc","22.140575","14.798881","SN IIP","0.046","","","ePESSTO+, TNS","Y","ePESSTO+, TNS","","1","0/0","","","","N","N","","WIS_Bot1","2024-09-07 11:31:35","Dr Ofer Yaron","2024-09-07 16:04:03"
"25884","SN 2024pij","PS24hhn, ATLAS24lvr, ZTF24aaviaxx","244.540744166","13.4322542932","SN IIP","0.04","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-08-05 12:10:05","TNS_Bot1","2024-08-05 12:10:05"
"25517","SN 2024kcu","GOTO24cvi, ZTF24aaqajjb","31.617105","27.032115","SN IIP","0.02","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-06-26 11:10:05","TNS_Bot1","2024-06-26 11:10:05"
"25225","SN 2024hjt","GOTO24avh, ZTF24aakzgdx","314.354178","17.128267","SN IIP","0.036","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-05-03 16:10:04","TNS_Bot1","2024-05-03 16:10:04"
"25063","SN 2024fgj","ATLAS24epj","88.88442","-15.6772266667","SN IIP","0.025","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-04-12 11:06:19","TNS_Bot1","2024-04-12 11:06:19"
"25064","SN 2024fgb","ZTF24aaibcrw, ATLAS24eoi","127.2735216","0.8640986","SN IIP","0.027","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-04-12 11:06:19","TNS_Bot1","2024-04-12 11:06:19"
"25135","SN 2024etq","ZTF24aahewml","273.4218239","10.934437","SN IIP","0.022","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-04-15 22:10:05","TNS_Bot1","2024-04-15 22:10:05"
"24940","SN 2024egh","ATLAS24dov","70.1521233333","0.50708","SN IIP","0.015024","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-03-18 08:10:04","TNS_Bot1","2024-03-18 08:10:04"
"25043","SN 2024ccq","BGEM J142615.60-153722.2, Gaia24awo, ZTF24aaekaby, ATLAS24cfk","216.564917","-15.622889","SN IIP","0.02","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-04-12 11:06:19","TNS_Bot1","2024-04-12 11:06:19"
"25102","SN 2024btx","PS24axg, ZTF24aaejjps, ATLAS24bza","178.731020806","29.3429164387","SN IIP","0.0212919991","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-04-12 11:06:19","TNS_Bot1","2024-04-12 11:06:19"
"24836","SN 2024biz","PS24akt, ATLAS24btg, GOTO24lw","78.6369239674","-4.67591014958","SN IIP","0.025","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-02-14 22:10:04","TNS_Bot1","2024-02-14 22:10:04"
"24688","SN 2024ee","ATLAS24ade","187.297921667","-40.69192","SN IIP","0.014","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-01-13 19:05:07","TNS_Bot1","2024-01-13 19:05:07"
"24624","SN 2023znx","ATLAS23xmi, ZTF23absjgww","214.6395848496465","55.1444243417426","SN IIP","0.0299","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-01-03 21:05:11","TNS_Bot1","2024-01-03 21:05:11"
"24982","SN 2023zlw","PS24amk, ATLAS23wxx","168.21538477","27.4507498229","SN IIP","0.02273","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-03-26 19:10:04","TNS_Bot1","2024-03-26 19:10:04"
"26279","SN 2023zjg","ZTF23abttygd, ATLAS23wxm","185.6800632","24.8208999","SN IIP","0.022543","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-09-17 19:10:08","TNS_Bot1","2024-09-17 19:10:08"
"24466","SN 2023zdx","ZTF23absjgxb, ATLAS23wwp, PS24g","216.9028232","41.2597058","SN IIP","0.0088","","","TNS","Y","TNS","","2","0/0","","","","N","N","","TNS_Bot1","2023-12-12 23:05:07","TNS_Bot1","2023-12-12 23:05:07"
"24453","SN 2023zba","ZTF23abseqoa, ATLAS23wys","4.0012824","-0.303318","SN IIP","0.039","NGC 60","0.03937","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2023-12-11 11:05:07","TNS_Bot1","2023-12-11 11:05:07"
"24797","SN 2023zao","GOTO24R, Gaia24aef, PS23nmk, ATLAS23wuh","196.597542","35.233689","SN IIP","0.018","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-02-08 15:10:05","TNS_Bot1","2024-02-08 15:10:05"
"24623","SN 2023yol","Gaia23dqi, ZTF23absjheu, ATLAS23wlv, GOTO23bmj","187.032083","20.179989","SN IIP","0.0226","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-01-03 21:05:11","TNS_Bot1","2024-01-03 21:05:11"
