Obj. ID,IAU name,Internal name/s,RA,DEC,Obj. Type,Redshift,Host name,Host redshift,Contrubuting group,Public,Associated groups,End prop. period,Spec. no.,LCs/Phot. no.,Discovery date,Peak-light date,Bibcode,Multi-type,Type-unclear,Remarks,Created by,Creation date,Modified by,Last-modified date
27757,SN 2025ftr,"GOTO25bie, ZTF25aakqyxk",156.5122153,-3.4156909,SN IIP,0.034,,,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,3/28/2025 10:10,TNS_Bot1,3/28/2025 10:10
27767,SN 2025dux,"BGEM J121400.14+243830.2, GOTO25bah, ATLAS25cnr",183.500612,24.641744,SN IIP,0.02,,,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,3/29/2025 10:10,TNS_Bot1,3/29/2025 10:10
27549,SN 2025cem,ATLAS25bux,182.676216,13.332302,SN IIP,0.02267,,,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,2/21/2025 15:10,TNS_Bot1,2/21/2025 15:10
27378,SN 2024adsy,"ZTF25aaaszht, ATLAS24rim, GOTO24iwu",175.563709,19.065,SN IIP,0.024,,,"ePESSTO+, TNS",Y,"ePESSTO+, TNS",,1,0/0,,,,N,N,,WIS_Bot1,1/24/2025 10:52,WIS_Bot1,1/24/2025 10:52
26998,SN 2024abxo,,89.37363636,-29.96209636,SN IIP,0.027799,,,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,12/24/2024 17:18,TNS_Bot1,12/24/2024 17:18
26535,SN 2024ablg,"BGEM J054409.82-512440.9, Gaia25adt, GOTO24iig, ATLAS24qgc",86.040738,-51.411406,SN IIP,0.052,,,"ePESSTO+, TNS",Y,"ePESSTO+, TNS",,1,0/0,,,,N,N,,WIS_Bot1,11/21/2024 12:46,Dr Ofer Yaron,2/6/2025 10:59
27038,SN 2024aaqs,,7.056970499,30.80473563,SN IIP,0.02126,,,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,12/24/2024 17:18,TNS_Bot1,12/24/2024 17:18
26900,SN 2024zxb,,76.94122185,16.10043385,SN IIP,0.04,,,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,12/24/2024 17:18,TNS_Bot1,12/24/2024 17:18
26712,SN 2024xui,,9.860387,1.34425,SN IIP,0.06,,,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,12/24/2024 17:18,TNS_Bot1,12/24/2024 17:18
26692,SN 2024xav,,49.94710975,41.51460866,SN IIP,0.02,,,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,12/24/2024 17:18,TNS_Bot1,12/24/2024 17:18
26187,SN 2024tcz,"PS24ikb, GOTO24fdq, ATLAS24nkz",292.6901612,53.88367117,SN IIP,0.013,,,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,9/7/2024 11:10,TNS_Bot1,9/7/2024 11:10
