"Obj. ID","IAU name","Internal name/s","RA","DEC","Obj. Type","Redshift","Host name","Host redshift","Contrubuting group","Public","Associated groups","End prop. period","Spec. no.","LCs/Phot. no.","Discovery date","Peak-light date","Bibcode","Multi-type","Type-unclear","Remarks","Created by","Creation date","Modified by","Last-modified date"
"22805","SN 2023avk","PS23va","220.172789144","13.4788698297","SN IIP","0.03","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2023-04-03 03:05:07","TNS_Bot1","2023-04-03 03:05:07"
"22741","SN 2023apm","ATLAS23bik, ZTF23aaawcwq","238.2315439","21.102409","SN IIP","0.016209","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2023-03-24 19:05:07","TNS_Bot1","2023-03-24 19:05:07"
"22491","SN 2023aeh","ATLAS23bdb","126.595431667","8.42119333333","SN IIP","0.045911","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2023-01-23 11:05:06","TNS_Bot1","2023-01-23 11:05:06"
"22490","SN 2023abq","KATS23B002","233.639042","41.136528","SN IIP","0.0318","UGC 9911","0.031832","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2023-01-23 03:05:06","TNS_Bot1","2023-01-23 03:05:06"
"22438","SN 2023fu","ATLAS23ajm, ZTF23aaaigqy","46.5885902","36.0197405","SN IIP","0.016438","IC 1874","","TNS","Y","TNS","","2","0/0","","","","N","N","","TNS_Bot1","2023-01-13 23:05:06","TNS_Bot1","2023-01-13 23:05:06"
"22216","SN 2022acko","DLT22v","49.912375","-19.395242","SN IIP","0.00526","NGC1300","","TNS, ePESSTO+","Y","ePESSTO+, TNS","","38","0/0","","","","N","N","","TNS_Bot1","2022-12-07 04:05:08","TNS_Bot1","2022-12-07 04:05:08"
"22075","SN 2022aang","ATLAS22bmab","119.84097","18.11147","SN IIP","0.01573","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2022-11-18 15:05:07","TNS_Bot1","2022-11-18 15:05:07"
"22066","SN 2022aaiy","ZTF22abtlsvn, ATLAS22blxz","19.4818958","28.9460033","SN IIP","0.035","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2022-11-18 08:05:06","TNS_Bot1","2022-11-18 08:05:06"
"26249","SN 2022wma","PS22kwc, ZTF22abkblgi","126.858433475","1.84887961865","SN IIP","0.031395","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-09-14 21:10:05","TNS_Bot1","2024-09-14 21:10:05"
"21803","SN 2022vyc","ATLAS22bgvb, Gaia22eas, ZTF22abhsxph","68.293042","76.568169","SN IIP","0.026308","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2022-10-13 11:05:06","TNS_Bot1","2022-10-13 11:05:06"
"22128","SN 2022voe","ATLAS22bklm, ZTF22abinbxm, Gaia22dzj","140.459125","54.062411","SN IIP","0.032276","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2022-11-24 05:05:09","TNS_Bot1","2022-11-24 05:05:09"
"21770","SN 2022qze","PS22gwr","29.8373405928","19.0105201477","SN IIP","0.008246","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2022-10-06 11:05:08","TNS_Bot1","2022-10-06 11:05:08"
"21215","SN 2022paf","PS22gll, ZTF22aatpwfw","331.360089811","-0.53295698352","SN IIP","0.031092","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2022-08-02 12:05:07","TNS_Bot1","2022-08-02 12:05:07"
"23990"," 2022ojo","ATLAS22swi","26.148417","37.697411","SN IIP","0.019","","","TNS","Y","KITS, TNS","","4","0/0","","","","N","N","","Dr Samaporn Tinyanont","2023-10-04 06:34:00","Dr Samaporn Tinyanont","2023-10-04 06:34:00"
"21291","SN 2022npv","PS22gcb, ATLAS22rxw, ZTF22aapqaqe","283.369200667","68.4754260681","SN IIP","0.025177","VII Zw 848","0.025177","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2022-08-16 23:05:06","TNS_Bot1","2022-08-16 23:05:06"
"26332","SN 2022lym","PS22ftk, ZTF22aamwveh","333.623142684","5.02649004045","SN IIP","0.028066","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-09-17 22:10:06","TNS_Bot1","2024-09-17 22:10:06"
"21107","SN 2022jpi","ATLAS22ppm, PS22ejo, ZTF22aaiidyo","243.180216418","28.3031914466","SN IIP","0.024181","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2022-07-17 14:05:06","TNS_Bot1","2022-07-17 14:05:06"
