"Obj. ID","IAU name","Internal name/s","RA","DEC","Obj. Type","Redshift","Host name","Host redshift","Contrubuting group","Public","Associated groups","End prop. period","Spec. no.","LCs/Phot. no.","Discovery date","Peak-light date","Bibcode","Multi-type","Type-unclear","Remarks","Created by","Creation date","Modified by","Last-modified date"
"27088","SN 2022kae","","161.564167","11.863439","SN IIn","0.055","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-12-24 17:18:57","TNS_Bot1","2024-12-24 17:18:57"
"20960","SN 2022jna","ATLAS22puw, Gaia22bzx, ZTF22aajjojx","343.041667","73.525011","SN IIn","0.093","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2022-06-21 09:05:06","TNS_Bot1","2022-06-21 09:05:06"
"20838","SN 2022jie","ATLAS22opa, PS22edb, ZTF22aajcupz","190.700436238","64.5749149989","SN IIn","0.0748","WISEA J124248.46+643430.4","0.074811","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2022-05-30 09:25:14","TNS_Bot1","2022-05-30 09:25:14"
"20744","SN 2022iep","PS22dye, ZTF22aagvxjc, ATLAS22muh","247.424836987","40.3349332412","SN IIn","0.025","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2022-05-14 12:05:10","TNS_Bot1","2022-05-14 12:05:10"
"20683","SN 2022iaz","ATLAS22mrj, ZTF22aahedwz","187.630479","-19.078369","SN IIn","0.067","","","ePESSTO+, TNS","Y","ePESSTO+, TNS","","1","0/0","","","","N","N","","WIS_Bot1","2022-05-05 06:40:28","Dr Ofer Yaron","2022-05-05 07:09:35"
"20963","SN 2022hwk","ATLAS22oph, ZTF22aagzbux, PS22dlx","191.496735443","59.2602488465","SN IIn","0.127","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2022-06-23 00:05:06","TNS_Bot1","2022-06-23 00:05:06"
"20651","SN 2022hev","ZTF22aafnzvd, ATLAS22llx","198.65304905","-10.4274576","SN IIn","0.054","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2022-05-01 10:06:04","TNS_Bot1","2022-05-01 10:06:04"
"20837","SN 2022gzi","ATLAS22nuf, ZTF22aaetqzk","266.5202078","42.27627073333333","SN IIn","0.089","SDSS J174604.85+421634.6","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2022-05-30 09:25:14","TNS_Bot1","2022-05-30 09:25:14"
"20662","SN 2022fmg","ATLAS22ksw, PS22cpo","193.756433374","2.65946491962","SN IIn","0.169","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2022-05-02 23:05:11","TNS_Bot1","2022-05-02 23:05:11"
"20482","SN 2022dkw","ZTF22aabwemz, ATLAS22hmu","218.959563","24.682833","SN IIn","0.036","","","ePESSTO+, TNS","Y","ePESSTO+, TNS","","1","0/0","","","","N","N","","WIS_Bot1","2022-03-23 12:40:07","Dr Ofer Yaron","2022-03-23 13:34:32"
"20459","SN 2022dhp","ZTF22aabxuxf, ATLAS22hjz","107.92716965","28.57263245","SN IIn","0.085","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2022-03-21 12:05:09","TNS_Bot1","2022-03-21 12:05:09"
"20426","SN 2022dfh","PS22bua, ATLAS22hcj","188.6335","14.896069","SN IIn","0.064","","","ePESSTO+, TNS","Y","ePESSTO+, TNS","","1","0/0","","","","N","N","","WIS_Bot1","2022-03-12 13:12:02","WIS_Bot1","2022-03-12 13:12:02"
"20315","SN 2022cxa","PS22blu, ATLAS22ghs","127.890693881","20.7590449217","SN IIn","0.088","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2022-02-23 12:05:06","TNS_Bot1","2022-02-23 12:05:06"
"20097","SN 2022zi","ATLAS22cbh","89.890633","-58.324553","SN IIn","0.035","","","ePESSTO+, TNS","Y","ePESSTO+, TNS","","1","0/0","","","","N","N","","WIS_Bot1","2022-01-23 16:42:43","WIS_Bot1","2022-01-23 16:42:43"
"20052","SN 2022K","PS22bc, ATLAS22aff","161.520512","-2.221261","SN IIn","0.035","","","ePESSTO+, TNS","Y","ePESSTO+, TNS","","1","0/0","","","","N","N"," [ following update_iau_on_wis: prefix updated to SN ]","WIS_Bot1","2022-01-13 12:26:58","WIS_Bot1","2022-01-20 12:11:58"
"20076","SN 2021agrl","ATLAS22ako, Gaia21ftw","215.603042","-2.730861","SN IIn","0.081","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2022-01-17 19:05:08","TNS_Bot1","2022-01-17 19:05:08"
"19941","SN 2021agji","ATLAS21bnkm","141.77475","24.10738","SN IIn","0.0215","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2021-12-19 02:05:06","TNS_Bot1","2021-12-19 02:05:06"
"19978","SN 2021afry","Gaia21fnb, ATLAS21bmrp, ASASSN-21vi","91.098375","-35.6023","SN IIn","0.03319","2MASX06042358-3536075","0.03319","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2022-01-04 00:05:10","TNS_Bot1","2022-01-04 00:05:10"
"20180","SN 2021adxl","ZTF21ackxdos, ATLAS23blun, PS22bne, Gaia21fcd","177.028917","-12.644919","SN IIn","0.018","","","ePESSTO+, NOT-ZTF, ZTF-SLSN, TNS, Asiago","Y","Asiago, ePESSTO+, NOT-ZTF, TNS, ZTF, ZTF-SLSN","","15","0/0","","","","N","N","","WIS_Bot1","2022-02-03 11:50:12","WIS_Bot1","2022-02-03 11:50:12"
"19727","SN 2021adou","ZTF21acmfxkc","14.4637946","9.6313192","SN IIn","0.039","","","TNS, ePESSTO+","Y","ePESSTO+, TNS","","1","0/0","","","","N","N","","TNS_Bot1","2021-11-08 03:05:08","TNS_Bot1","2021-11-08 03:05:08"
"19831","SN 2021admz","ZTF21aclknsx","305.8789351","-23.4423808","SN IIn","0.056","WISEA J202331.00-232635.4","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2021-12-01 12:06:10","TNS_Bot1","2021-12-01 12:06:10"
"19928","SN 2021acnp","ATLAS21blhp, ZTF21achducl","19.3969009","8.5116099","SN IIn","0.069","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2021-12-15 15:05:14","TNS_Bot1","2021-12-15 15:05:14"
"19722","SN 2021abqf","Gaia21evq, ATLAS21bkfu","351.88275","-32.995719","SN IIn","0.058","","","ePESSTO+, TNS","Y","ePESSTO+, TNS","","2","0/0","","","","N","N","","WIS_Bot1","2021-11-07 13:19:31","WIS_Bot1","2021-11-07 13:19:31"
"19929","SN 2021abbv","ATLAS21bkvb, PS21leg, ZTF21achfddh","51.0147785519","15.9694359068","SN IIn","0.07","WISEA J032403.77+155804.5","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2021-12-15 15:05:14","TNS_Bot1","2021-12-15 15:05:14"
"19547","SN 2021aapa","ATLAS21bkbl, ZTF21acgtbej, PS21kuh","62.7125840479","-9.62945090127","SN IIn","0.032","","","TNS, ePESSTO+","Y","ePESSTO+, TNS","","1","0/0","","","","N","N","","TNS_Bot1","2021-10-20 17:05:09","TNS_Bot1","2021-10-20 17:05:09"
"19429","SN 2021aaft","ATLAS21bjlm","110.533667","-35.881092","SN IIn","0.03","","","ePESSTO+, TNS","Y","ePESSTO+, TNS","","1","0/0","","","","N","N","","WIS_Bot1","2021-10-04 12:31:04","WIS_Bot1","2021-10-04 12:31:04"
"19344","SN 2021zhw","ATLAS21bjim, ZTF21acdqdge","321.831667","2.792619","SN IIn","0.044","","","ePESSTO+, TNS","Y","ePESSTO+, TNS","","1","0/0","","","","N","N","","WIS_Bot1","2021-09-26 11:34:52","WIS_Bot1","2021-09-26 11:34:52"
"19506","SN 2021yyy","PS21kty, ATLAS21bjgp, ZTF21accgsbf","340.031492","-5.003481","SN IIn","0.093","","","ePESSTO+, TNS","Y","ePESSTO+, TNS","","1","0/0","","","","N","N","","WIS_Bot1","2021-10-14 11:33:34","WIS_Bot1","2021-10-14 11:33:34"
"19478","SN 2021yys","ATLAS21bizk, ZTF21acckcni","111.4259274","44.8236611","SN IIn","0.043293","CGCG 205-044","0.043293","TNS","Y","PTF, TNS","","1","0/0","","","","N","N","","TNS_Bot1","2021-10-10 19:05:06","TNS_Bot1","2021-10-10 19:05:06"
"19213","SN 2021xwg","ZTF21abxtfwo","354.9930042","-22.788814","SN IIn","0.027","AM 2337-230 NED02","0.025981","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2021-09-09 12:23:50","TNS_Bot1","2021-09-09 12:23:50"
"19189","SN 2021xre","PS21jtn, ATLAS21bhih, ZTF21abvuwbp","3.77999060848","17.4986953407","SN IIn","0.06","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2021-09-09 12:23:50","TNS_Bot1","2021-09-09 12:23:50"
"19116","SN 2021wwp","MASTER OT J204833.97-201218.3, MASTER OT J204833.98-201219.1, ATLAS21bgsx","312.141534375","-20.205179375","SN IIn","0.027776","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2021-09-09 12:23:50","TNS_Bot1","2021-09-09 12:23:50"
