"Obj. ID","IAU name","Internal name/s","RA","DEC","Obj. Type","Redshift","Host name","Host redshift","Contrubuting group","Public","Associated groups","End prop. period","Spec. no.","LCs/Phot. no.","Discovery date","Peak-light date","Bibcode","Multi-type","Type-unclear","Remarks","Created by","Creation date","Modified by","Last-modified date"
"18660","SN 2021qim","ATLAS21zxd, Gaia21dam, ZTF21abgzyvg","190.688375","73.138981","SN IIn","0.031","WISEA J124245.09+730819.3","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2021-07-06 10:05:08","TNS_Bot1","2021-07-06 10:05:08"
"18613","SN 2021qeq","ATLAS21wyf, ZTF21abghumo","253.61156194","53.72397256","SN IIn","0.055","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2021-06-29 00:05:06","TNS_Bot1","2021-06-29 00:05:06"
"19026","SN 2021qep","ZTF21abgkfzh, ATLAS21wxq","2.93456835","12.079016549999999","SN IIn","0.086","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2021-08-20 15:05:11","TNS_Bot1","2021-08-20 15:05:11"
"18533","SN 2021puu","ATLAS21tdj","196.23692","-9.82544777778","SN IIn","0.073","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2021-06-15 10:05:06","TNS_Bot1","2021-06-15 10:05:06"
"18704","SN 2021owc","PS21ffi","305.686440073","-14.8127460687","SN IIn","0.127","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2021-07-14 20:05:08","TNS_Bot1","2021-07-14 20:05:08"
"19081","SN 2021nin","ATLAS21pdt","332.176238","-32.177236","SN IIn","0.1","","","ePESSTO+, TNS","Y","ePESSTO+, TNS","","1","0/0","","","","N","N","","WIS_Bot1","2021-08-28 11:44:27","WIS_Bot1","2021-08-28 11:44:27"
"18443","SN 2021nhh","ATLAS21nfy, PS21eip","231.1386244","-13.5468173","SN IIn","0.135","","","TNS","Y","TNS","2024-06-01","1","0/0","","","","N","N","ZTF21aavgnld is related to ZTF program: Superluminous Supernovae II. [ following update_iau_on_wis: iauname, prefix updated to SN 2021nhh ]","WIS_ZTF_Bot","2021-06-01 01:40:39","WIS_ZTF_Bot","2021-06-17 11:53:56"
"18453","SN 2021mwh","ZTF21abccdld","239.1741231","68.3787113","SN IIn","0.03501","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2021-06-02 03:05:10","TNS_Bot1","2021-06-02 03:05:10"
"18441","SN 2021mdd","ATLAS21ont","116.303639","59.5929555","SN IIn","0.0545","","","TNS","Y","TNS","2024-06-01","1","0/0","","","","N","N","ZTF21aavayty is related to ZTF program: Superluminous Supernovae II. [ following update_iau_on_wis: iauname, prefix updated to SN 2021mdd ]","WIS_ZTF_Bot","2021-06-01 01:40:28","WIS_ZTF_Bot","2021-06-17 11:56:32"
"18357","SN 2021lhy","ATLAS21oxb, ZTF21aazgkjf","323.062242","-0.501364","SN IIn","0.142","","","ePESSTO+, TNS","Y","ePESSTO+, TNS","","1","0/0","","","","N","N","","WIS_Bot1","2021-05-22 11:49:33","WIS_Bot1","2021-05-22 11:49:33"
