"Obj. ID","IAU name","Internal name/s","RA","DEC","Obj. Type","Redshift","Host name","Host redshift","Contrubuting group","Public","Associated groups","End prop. period","Spec. no.","LCs/Phot. no.","Discovery date","Peak-light date","Bibcode","Multi-type","Type-unclear","Remarks","Created by","Creation date","Modified by","Last-modified date"
"27705","SN 2025dke","WFST0532rzok, ATLAS25cnu, T202503021419220m014709, ZTF25aairhqk","214.8415414","-1.7857248","SN IIn","0.0558","SDSS J141922.05-014706.4","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2025-03-21 14:10:05","TNS_Bot1","2025-03-21 14:10:05"
"27646","SN 2025csc","GOTO25avp, ATLAS25ccn, ZTF25aahmdjb","271.535863","23.466806","SN IIn","0.022238","SDSS J180608.52+232756.0","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2025-03-06 20:10:08","TNS_Bot1","2025-03-06 20:10:08"
"27651","SN 2025cbj","BGEM J155940.07+270640.8, ATLAS25buy, ZTF25aagbrpb","239.9169571","27.111335577778","SN IIn","0.07","SDSS J155940.04+270641.1","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2025-03-07 19:10:05","TNS_Bot1","2025-03-07 19:10:05"
"27315","SN 2025ah","ATLAS25aej, ZTF25aaabnwi","38.6908037","44.5987538","SN IIn","0.0815","SDSS J023446.07+443557.0","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2025-01-14 03:10:04","TNS_Bot1","2025-01-14 03:10:04"
"27314","SN 2025ae","GOTO25bj, ATLAS25acq","187.35420833333333","-36.429763888888886","SN IIn","0.073","","","ePESSTO+, TNS","Y","ePESSTO+, TNS","","1","0/0","","","","N","N","","WIS_Bot1","2025-01-13 11:04:29","WIS_Bot1","2025-01-13 11:04:29"
"27189","SN 2024agfq","","172.128125","58.561508","SN IIn","0.0103","Arp 299","0.0103","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2025-01-01 16:15:18","TNS_Bot1","2025-01-01 16:15:18"
"27141","SN 2024acyk","PS24mzd, GOTO24iyw, ATLAS24qxl","65.725167","-40.629728","SN IIn","0.128","","","ePESSTO+, TNS","Y","ePESSTO+, TNS","","1","0/0","","","","N","N","","WIS_Bot1","2024-12-27 10:54:00","WIS_Bot1","2024-12-27 10:54:00"
"27072","SN 2024aboy","","207.144875","24.893439","SN IIn","0.029716","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-12-24 17:18:57","TNS_Bot1","2024-12-24 17:18:57"
"27281","SN 2024abmz","ZTF24abszbeu, ATLAS24qgu","195.7744999","26.5322576","SN IIn","0.019184","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2025-01-09 14:10:06","TNS_Bot1","2025-01-09 14:10:06"
"26536","SN 2024abmf","","30.379046","-17.264944","SN IIn","0.08","","","ePESSTO+","Y","ePESSTO+","","1","0/0","","","","N","N","","WIS_Bot1","2024-11-21 12:46:10","WIS_Bot1","2024-11-21 12:46:10"
"27601","SN 2024abjl","PS25cg, Gaia24dns, ATLAS24rhy, GOTO24iva, ZTF24absvund","213.228","13.844831","SN IIn","0.092","SDSS J141254.79+135042.7","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2025-02-27 14:10:05","TNS_Bot1","2025-02-27 14:10:05"
"26503","SN 2024aavj","","10.838617","-50.16825","SN IIn","0.03","","","ePESSTO+","Y","ePESSTO+","","1","0/0","","","","N","N","","WIS_Bot1","2024-11-12 12:22:46","WIS_Bot1","2024-11-12 12:22:46"
"26502","SN 2024aapx","","178.6792","-76.796333","SN IIn","0.035","","","ePESSTO+","Y","ePESSTO+","","1","0/0","","","","N","N","","WIS_Bot1","2024-11-12 12:22:46","WIS_Bot1","2024-11-12 12:22:46"
"27014","SN 2024aaks","","137.187848151","30.9106521936","SN IIn","0.155","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-12-24 17:18:57","TNS_Bot1","2024-12-24 17:18:57"
"27356","SN 2024zwf","PS24ocq, GOTO24iqq, ATLAS24qhx, ZTF24abpxbbk","174.8412291","-12.6899617171","SN IIn","0.04","LCRS B113649.7-122442","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2025-01-19 18:10:04","TNS_Bot1","2025-01-19 18:10:04"
"26935","SN 2024yre","","171.450711443","-1.55116846125","SN IIn","0.065","SDSS J112548.18-013308.4","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-12-24 17:18:57","TNS_Bot1","2024-12-24 17:18:57"
"26721","SN 2024vku","","7.54412988896","2.09248547676","SN IIn","0.017892","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-12-24 17:18:57","TNS_Bot1","2024-12-24 17:18:57"
"26723","SN 2024ugv","","68.7347029559","11.9589640554","SN IIn","0.0328","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-12-24 17:18:57","TNS_Bot1","2024-12-24 17:18:57"
"26199","SN 2024ueo","PS24isk, GOTO24foh, ATLAS24nur, ZTF24abeivan","50.0927151505","-5.6062598793","SN IIn","0.036","","","TNS, ePESSTO+","Y","ePESSTO+, TNS","","2","0/0","","","","N","N","","TNS_Bot1","2024-09-09 06:10:05","TNS_Bot1","2024-09-09 06:10:05"
"26117","SN 2024tvi","ATLAS24nop, PS24iib, GOTO24fdv, ZTF24abcugcf","348.794912451","-27.9151233446","SN IIn","0.03","","","TNS","Y","TNS","","2","0/0","","","","N","N","","TNS_Bot1","2024-08-31 19:10:04","TNS_Bot1","2024-08-31 19:10:04"
"26678","SN 2024sbw","","334.77025","-8.421931","SN IIn","0.144","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-12-24 17:18:57","TNS_Bot1","2024-12-24 17:18:57"
"25969","SN 2024sbt","ATLAS24mxq, ZTF24abbbttv","293.115421","57.543486","SN IIn","0.026","2MASX J19322781+5732367","","TNS","Y","TNS","","2","0/0","","","","N","N","","TNS_Bot1","2024-08-16 11:10:04","TNS_Bot1","2024-08-16 11:10:04"
"25766","SN 2024pjz","ATLAS24ldv","33.735304","-51.452775","SN IIn","0.03","","","ePESSTO+, TNS","Y","ePESSTO+, TNS","","1","0/0","","","","N","N","","WIS_Bot1","2024-07-15 14:36:59","Dr Ofer Yaron","2024-07-15 17:25:02"
"25723","SN 2024oaf","ATLAS24jzp","307.215558806","1.64748149254","SN IIn","0.054","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-07-13 11:10:05","TNS_Bot1","2024-07-13 11:10:05"
"26722","SN 2024mzq","","76.774042","-26.589581","SN IIn","0.1","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-12-24 17:18:57","TNS_Bot1","2024-12-24 17:18:57"
"26856","SN 2024lib","","158.31875","11.021639","SN IIn","0.049701","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-12-24 17:18:57","TNS_Bot1","2024-12-24 17:18:57"
"25455","SN 2024kgi","ATLAS24iqc, GOTO24ckd","341.183213158","16.0851905263","SN IIn","0.04","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-06-09 14:10:04","TNS_Bot1","2024-06-09 14:10:04"
"27086","SN 2024jvz","","245.655698358","22.4031740303","SN IIn","0.035","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-12-24 17:18:57","TNS_Bot1","2024-12-24 17:18:57"
"25400","SN 2024jem","GOTO24bwz","305.414192","-65.408464","SN IIn","0.043","","","ePESSTO+, TNS","Y","ePESSTO+, TNS","","1","0/0","","","","N","N","","WIS_Bot1","2024-06-02 13:53:54","WIS_Bot1","2024-06-02 13:53:54"
"25615","SN 2024ien","GOTO24deq, PS24cqx, ATLAS24gwo, ZTF24aamiomv","257.225787928","-0.403980547426","SN IIn","0.0625","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-07-05 10:10:05","TNS_Bot1","2024-07-05 10:10:05"
"25398","SN 2024idf","ATLAS24guv","153.403054","-47.117042","SN IIn","0.057","","","ePESSTO+, TNS","Y","ePESSTO+, TNS","","1","0/0","","","","N","N","","WIS_Bot1","2024-06-02 13:53:54","WIS_Bot1","2024-06-02 13:53:54"
"25293","SN 2024hpj","GOTO24bjv, ATLAS24gww, ZTF24aaleeji","267.1990054","37.2172855","SN IIn","0.016","","","TNS, NOT-ZTF","Y","NOT-ZTF, TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-05-11 08:10:05","TNS_Bot1","2024-05-11 08:10:05"
"25172","SN 2024gbc","ZTF24aaisnlp","218.6312276999984","58.309155000000004","SN IIn","0.0517","SDSS J143431.26+581830.6","0.05165188","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-04-22 14:10:05","TNS_Bot1","2024-04-22 14:10:05"
"25205","SN 2024fof","ATLAS24eyc, ZTF24aaifila","247.98935880464612","71.02179401703275","SN IIn","0.114","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-05-01 21:10:04","TNS_Bot1","2024-05-01 21:10:04"
"25195","SN 2024ezb","ATLAS24fzd, GOTO24afs, ZTF24aahtdhb","255.4630862","13.9850318875","SN IIn","0.055","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-04-30 21:10:04","TNS_Bot1","2024-04-30 21:10:04"
"25198","SN 2024ejz","ZTF24aahdfdo, ATLAS24dtz","204.41951182","1.29510913","SN IIn","0.0873","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-05-01 17:10:04","TNS_Bot1","2024-05-01 17:10:04"
"24935","SN 2024egc","BGEM J191145.30-570804.0","287.938783","-57.134461","SN IIn","0.01","","","ePESSTO+, TNS","Y","ePESSTO+, TNS","","2","0/0","","","","N","N","","WIS_Bot1","2024-03-15 12:07:37","WIS_Bot1","2024-03-15 12:07:37"
"24925","SN 2024ecr","ATLAS24dma","204.8588","-16.628136","SN IIn","0.052","","","ePESSTO+, TNS","Y","ePESSTO+, TNS","","1","0/0","","","","N","N","","WIS_Bot1","2024-03-13 11:40:53"," Erez Zimmerman","2024-04-03 11:42:21"
"25001","SN 2024dwo","ATLAS24dje, ZTF24aagtesv","208.347913","14.411422","SN IIn","0.036","","","ePESSTO+, TNS","Y","ePESSTO+, TNS","","1","0/0","","","","N","N","","WIS_Bot1","2024-04-02 11:27:08","Dr Ofer Yaron","2024-04-02 14:10:03"
"24862","SN 2024dco","ATLAS24csf","46.0814116667","-11.9037683333","SN IIn","0.01","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-02-22 13:10:04","TNS_Bot1","2024-02-22 13:10:04"
"24961","SN 2024crf","Gaia24awe, ATLAS24cuw, ZTF24aaerzgz","296.448208","48.375311","SN IIn","0.1","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-03-20 23:10:04","TNS_Bot1","2024-03-20 23:10:04"
"27084","SN 2024cmq","","276.3939508","34.244031","SN IIn","0.159","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-12-24 17:18:57","TNS_Bot1","2024-12-24 17:18:57"
"24788","SN 2024bth","GOTO24na","109.659375","4.309871","SN IIn","0.037","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-02-06 15:10:04","TNS_Bot1","2024-02-06 15:10:04"
"24713","SN 2024hw","ZTF24aaaibep","161.71815396048032","-1.3909486700872726","SN IIn","0.0139","","","TNS","Y","TNS","","4","0/0","","","","N","N","","TNS_Bot1","2024-01-16 20:05:06","TNS_Bot1","2024-01-16 20:05:06"
"24652","SN 2024dy","ZTF24aaabljq, Gaia24acc, ATLAS24ada","161.687625","29.909389","SN IIn","0.0214","","","TNS, ePESSTO+","Y","ePESSTO+, TNS","","2","0/0","","","","N","N","","TNS_Bot1","2024-01-08 23:05:07","TNS_Bot1","2024-01-08 23:05:07"
"24661","SN 2024C","ATLAS24aaj","145.975517","-29.727411","SN IIn","0.052","","","ePESSTO+, TNS","Y","ePESSTO+, TNS","","1","0/0","","","","N","N","","WIS_Bot1","2024-01-09 14:09:16","WIS_Bot1","2024-01-09 14:09:16"
"25595","SN 2023acmb","PS24bcu, ZTF24aaadler","233.48791743","4.32369861535","SN IIn","0.038","","","TNS","Y","TNS","","1","0/0","","","","N","N","","TNS_Bot1","2024-07-02 23:10:05","TNS_Bot1","2024-07-02 23:10:05"
