Obj. ID,IAU name,Internal name/s,RA,DEC,Obj. Type,Redshift,Host name,Host redshift,Contrubuting group,Public,Associated groups,End prop. period,Spec. no.,LCs/Phot. no.,Discovery date,Peak-light date,Bibcode,Multi-type,Type-unclear,Remarks,Created by,Creation date,Modified by,Last-modified date
27262,SN 2023abi,"ATLAS23azz, ZTF23aaapozz, PS23lz",185.5226169,13.31434593,SN IIn,0.092,,,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,1/9/2025 9:10,TNS_Bot1,1/9/2025 9:10
23229,SN 2023wi,"PS23atv, ZTF23aaczpkm, ATLAS23awy",172.2312252,5.45906696,SN IIn,0.094,,,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,5/12/2023 10:05,TNS_Bot1,5/12/2023 10:05
22455,SN 2023jo,"PS23fh, ATLAS23akh",121.8533069,39.19377302,SN IIn,0.013,,,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,1/18/2023 11:05,TNS_Bot1,1/18/2023 11:05
22495,SN 2022aecy,"ZTF22abzgbtq, ATLAS22bomd",85.372305,16.7621357,SN IIn,0.08,,,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,1/23/2023 19:05,TNS_Bot1,1/23/2023 19:05
22283,SN 2022aaon,ATLAS22bmep,58.625708,-34.668681,SN IIn,0.074,,,"ePESSTO+, TNS",Y,"ePESSTO+, TNS",,1,0/0,,,,N,N, [ following update_iau_on_wis: prefix updated to SN ],WIS_Bot1,12/21/2022 10:51,Dr Rachel Bruch,1/10/2023 8:17
22274,SN 2022aahy,"ATLAS22bmvm, ZTF22abtsypf",104.7342985,39.6352214,SN IIn,0.135,,,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,12/19/2022 21:05,TNS_Bot1,12/19/2022 21:05
22044,SN 2022aaan,ATLAS22blsb,325.658533,-31.462689,SN IIn,0.111,,,"ePESSTO+, TNS",Y,"ePESSTO+, TNS",,1,0/0,,,,N,N,"Wrong upload, correct classification from Konrad Grzesiak et al. (https://www.wis-tns.org/astronotes/astronote/2022-241)",WIS_Bot1,11/16/2022 12:08,Dr Rachel Bruch,11/16/2022 14:58
22134,SN 2022zyd,"ATLAS22blyd, ZTF22abtcpig",32.1384028,52.8267818,SN IIn,0.063,,,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,11/24/2022 13:05,TNS_Bot1,11/24/2022 13:05
21938,SN 2022ymi,ATLAS22bjxv,292.752531,48.348678,SN IIn,0.021,,,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,10/29/2022 8:05,TNS_Bot1,10/29/2022 8:05
21972,SN 2022ymc,"ZTF22abqseiq, ATLAS22bken, PS22kph",48.419208,-1.275617,SN IIn,0.028,,,"ePESSTO+, TNS",Y,"ePESSTO+, TNS",,1,0/0,,,,N,N,,WIS_Bot1,11/2/2022 11:55,WIS_Bot1,11/2/2022 11:55
22023,SN 2022wqo,"ATLAS22bhuy, ZTF22abizuah",118.063007,-1.1410855,SN IIn,0.0935,,,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,11/14/2022 19:05,TNS_Bot1,11/14/2022 19:05
22674,SN 2022wed,"ATLAS22bkln, ZTF22abhwlnm",111.0645721,19.08130782,SN IIn,0.114,,,"TNS, Asiago",Y,"Asiago, TNS",,4,0/0,,,,N,N,,TNS_Bot1,2/27/2023 17:05,TNS_Bot1,2/27/2023 17:05
