# Energia (eV)   E^2 * fluence (eV)
3.39821e-02   7.48257e-20
3.92419e-02   7.18485e-20
4.53158e-02   6.79043e-20
5.23299e-02   6.33359e-20
6.04296e-02   5.76721e-20
6.97831e-02   5.11895e-20
8.05842e-02   4.39536e-20
9.30572e-02   3.62391e-20
1.07461e-01   2.83155e-20
1.24094e-01   2.19003e-20
1.43301e-01   1.66177e-20
1.65482e-01   1.24045e-20
1.91095e-01   8.94156e-21
2.20673e-01   6.57314e-21
2.54830e-01   4.79159e-21
2.94273e-01   3.46256e-21
3.39821e-01   2.45514e-21
3.92419e-01   1.78116e-21
4.53158e-01   1.28784e-21
5.23299e-01   9.28129e-22
6.04296e-01   6.61847e-22
6.97831e-01   4.82547e-22
8.05842e-01   3.51315e-22
9.30572e-01   2.55187e-22
1.07461e+00   1.82657e-22
1.24094e+00   1.33866e-22
1.43301e+00   9.78320e-23
1.65482e+00   7.12696e-23
1.91095e+00   5.10291e-23
2.20673e+00   3.74639e-23
2.54830e+00   2.74225e-23
2.94273e+00   2.00034e-23
3.39821e+00   1.43390e-23
3.92419e+00   1.05279e-23
4.53158e+00   7.69997e-24
5.23299e+00   5.60684e-24
6.04296e+00   4.01485e-24
6.97831e+00   2.94199e-24
8.05842e+00   2.14930e-24
9.30572e+00   1.56535e-24
1.07461e+01   1.12359e-24
1.24094e+01   8.25612e-25
1.43301e+01   6.04996e-25
1.65482e+01   4.41854e-25
1.91095e+01   3.16942e-25
2.20673e+01   2.32889e-25
2.54830e+01   1.70505e-25
2.94273e+01   1.24356e-25
3.39821e+01   8.89123e-26
3.92419e+01   6.52889e-26
4.53158e+01   4.78113e-26
5.23299e+01   3.49042e-26
6.04296e+01   2.49744e-26
6.97831e+01   1.83758e-26
8.05842e+01   1.34859e-26
9.30572e+01   9.86626e-27
1.07461e+02   7.06652e-27
1.24094e+02   5.20418e-27
1.43301e+02   3.82092e-27
1.65482e+02   2.79518e-27
1.91095e+02   1.99992e-27
2.20673e+02   1.47161e-27
2.54830e+02   1.07935e-27
2.94273e+02   7.88664e-28
3.39821e+02   5.63355e-28
3.92419e+02   4.13988e-28
4.53158e+02   3.03191e-28
5.23299e+02   2.21176e-28
6.04296e+02   1.57650e-28
6.97831e+02   1.15634e-28
8.05842e+02   8.45119e-29
9.30572e+02   6.15107e-29
1.07461e+03   4.37145e-29
1.24094e+03   3.19802e-29
1.43301e+03   2.33058e-29
1.65482e+03   1.69086e-29
1.91095e+03   1.19678e-29
2.20673e+03   8.72318e-30
2.54830e+03   6.33147e-30
2.94273e+03   4.57322e-30
3.39821e+03   3.21845e-30
3.92419e+03   2.33396e-30
4.53158e+03   1.68458e-30
5.23299e+03   1.20929e-30
6.04296e+03   8.44320e-31
6.97831e+03   6.07982e-31
8.05842e+03   4.35445e-31
9.30572e+03   3.09947e-31
1.07461e+04   2.14032e-31
1.24094e+04   1.52638e-31
1.43301e+04   1.08174e-31
1.65482e+04   7.61094e-32
1.91095e+04   5.17673e-32
2.20673e+04   3.64359e-32
2.54830e+04   2.54544e-32
2.94273e+04   1.76307e-32
3.39821e+04   1.17453e-32
3.92419e+04   8.12149e-33
4.53158e+04   5.56527e-33
5.23299e+04   3.77423e-33
6.04296e+04   2.44391e-33
6.97831e+04   1.65011e-33
8.05842e+04   1.10187e-33
9.30572e+04   7.26439e-34
1.07461e+05   4.52416e-34
1.24094e+05   2.95889e-34
1.43301e+05   1.90866e-34
1.65482e+05   1.21169e-34
1.91095e+05   7.15185e-35
2.20673e+05   4.48221e-35
2.54830e+05   2.76079e-35
2.94273e+05   1.66655e-35
3.39821e+05   9.12831e-36
3.92419e+05   5.40373e-36
4.53158e+05   3.12950e-36
5.23299e+05   1.76652e-36
6.04296e+05   8.70854e-37
6.97831e+05   4.77607e-37
8.05842e+05   2.54788e-37
9.30572e+05   1.31556e-37
1.07461e+06   5.57676e-38
1.24094e+06   2.76015e-38
1.43301e+06   1.31959e-38
1.65482e+06   6.05366e-39
1.91095e+06   2.05607e-39
2.20673e+06   8.84876e-40
2.54830e+06   3.64950e-40
2.94273e+06   1.43101e-40
3.39821e+06   3.45850e-41
3.92419e+06   1.22079e-41
4.53158e+06   4.09618e-42
5.23299e+06   1.30545e-42
6.04296e+06   1.82283e-43
6.97831e+06   4.75262e-44
8.05842e+06   1.15579e-44
9.30572e+06   2.72153e-45
1.07461e+07   1.66950e-46
1.24094e+07   2.66718e-47
1.43301e+07   3.69312e-48
1.65482e+07   5.00161e-49
1.91095e+07   1.01426e-50
2.20673e+07   7.19568e-52
2.54830e+07   3.66615e-53
2.94273e+07   1.57435e-54
3.39821e+07   6.60577e-57
3.92419e+07   1.22095e-58
4.53158e+07   1.16405e-60
5.23299e+07   5.63178e-63
6.04296e+07   2.02358e-66
6.97831e+07   2.61993e-69
8.05842e+07   8.85390e-73
9.30572e+07   0.00000e+00
