Time [s]  Flux [eV/s] 
7.94328e+04   1.68898e+63
1.00000e+05   1.56871e+63
1.25893e+05   1.45649e+63
1.58489e+05   1.35185e+63
1.99526e+05   1.25437e+63
2.51189e+05   1.16362e+63
3.16228e+05   1.08683e+63
3.98107e+05   9.83657e+62
5.01187e+05   8.02191e+62
6.30957e+05   6.27431e+62
7.94328e+05   1.38452e+59
1.00000e+06   1.07468e+59
1.25893e+06   8.34106e+58
1.58489e+06   6.47326e+58
1.99526e+06   5.02324e+58
2.51189e+06   3.89765e+58
3.16228e+06   3.02398e+58
3.98107e+06   2.34591e+58
5.01187e+06   1.81969e+58
6.30957e+06   1.41135e+58
7.94328e+06   1.09452e+58
1.00000e+07   8.48723e+57
1.25893e+07   6.58049e+57
1.58489e+07   5.10149e+57
1.99526e+07   3.95442e+57
2.51189e+07   3.06488e+57
3.16228e+07   2.37513e+57
3.98107e+07   1.84036e+57
5.01187e+07   1.42581e+57
6.30957e+07   1.10447e+57
7.94328e+07   8.55441e+56
1.00000e+08   6.62457e+56
