Time [s]  Flux [eV/s] 
6.30957e+05   2.47102e+64
7.94328e+05   2.29599e+64
1.00000e+06   2.13041e+64
1.25893e+06   1.97419e+64
1.58489e+06   1.82720e+64
1.99526e+06   1.68921e+64
2.51189e+06   1.55996e+64
3.16228e+06   1.43916e+64
3.98107e+06   1.32646e+64
5.01187e+06   1.22151e+64
6.30957e+06   1.12393e+64
7.94328e+06   1.03336e+64
1.00000e+07   9.49406e+63
1.25893e+07   8.71687e+63
1.58489e+07   7.99827e+63
1.99526e+07   7.33474e+63
2.51189e+07   6.72262e+63
3.16228e+07   6.15850e+63
3.98107e+07   1.57216e+22
5.01187e+07   1.81150e+25
6.30957e+07   1.07884e+28
7.94328e+07   3.34042e+30
1.00000e+08   5.77351e+32

