# Energy	Flux_temporale
3.398210000000000000e+08 1.879962354457561225e+42
1.864877138894950000e+14 3.501646342687184697e+29
3.729750879579900000e+14 2.622633832551520334e+28
5.594624620264850000e+14 5.096358969328693474e+27
7.459498360949800000e+14 1.373926802904617118e+27
9.324372101634750000e+14 4.726874378678957323e+26
1.118924584231970000e+15 1.503780615607869824e+26
1.305411958300465000e+15 7.631779043442026095e+25
1.491899332368960000e+15 3.471082377084619202e+25
1.678386706437455000e+15 1.845832941044850139e+25
1.864874080505950000e+15 8.250024576560241435e+24
2.051361454574445000e+15 3.652975516496802483e+24
2.237848828642940000e+15 2.622051318602740909e+24
2.424336202711435000e+15 1.683213818043054122e+24
2.610823576779930000e+15 9.027479855412082870e+23
2.797310950848425000e+15 5.527392901693360057e+23
2.983798324916920000e+15 3.958690378986332556e+23
3.170285698985415000e+15 2.465258711595522101e+23
3.356773073053910000e+15 1.199911539123157278e+23
3.543260447122405000e+15 5.150879350773761704e+22
3.729747821190900000e+15 3.265463915577478637e+22
3.916235195259395000e+15 3.418191619100041753e+22
4.102722569327890000e+15 3.168240954646768229e+22
4.289209943396385000e+15 2.333017334051957113e+22
4.475697317464880000e+15 1.371391738656140873e+22
4.662184691533375000e+15 7.077967678838326428e+21
4.848672065601870000e+15 4.111067055263256674e+21
5.035159439670365000e+15 3.406282172014186201e+21
5.221646813738860000e+15 3.529667990084280386e+21
5.408134187807355000e+15 3.279545575936884736e+21
5.594621561875850000e+15 2.569721075863907205e+21
5.781108935944345000e+15 1.648466038323479577e+21
5.967596310012840000e+15 7.641151080659493847e+20
6.154083684081335000e+15 1.529682942600835564e+20
6.340571058149830000e+15 -1.317211658380021268e+20
6.527058432218325000e+15 -1.791459683323480637e+20
6.713545806286820000e+15 -8.225285466958112358e+19
6.900033180355315000e+15 6.601143370367169331e+19
7.086520554423810000e+15 1.763097990389977907e+20
7.273007928492305000e+15 2.177765050095979069e+20
7.459495302560800000e+15 2.069534142608386294e+20
7.645982676629295000e+15 1.617487174917268439e+20
7.832470050697790000e+15 1.000706054012694692e+20
8.018957424766285000e+15 3.982726868847344026e+19
8.205444798834780000e+15 -2.882086888624225792e+18
8.391932172903275000e+15 -2.583766363021727744e+19
8.578419546971770000e+15 -3.324572938410916659e+19
8.764906921040265000e+15 -2.934753196857930547e+19
8.951394295108760000e+15 -1.838431920190715494e+19
9.137881669177256000e+15 -4.597338902372100608e+18
9.324369043245750000e+15 7.773012282179978240e+18
9.510856417314244000e+15 1.561579019925049754e+19
9.697343791382740000e+15 1.917604904948452966e+19
9.883831165451236000e+15 1.931931236009765274e+19
1.007031853951973000e+16 1.691110365830566093e+19
1.025680591358822400e+16 1.281694647132425216e+19
1.044329328765672000e+16 7.902364326369060864e+18
1.062978066172521600e+16 3.032880750655849984e+18
1.081626803579371000e+16 -9.354624080860483840e+17
1.100275540986220400e+16 -3.572697225285969408e+18
1.118924278393070000e+16 -5.038095413967820800e+18
1.137573015799919600e+16 -5.534122653005872128e+18
1.156221753206769000e+16 -5.263244621274436608e+18
1.174870490613618400e+16 -4.427926997647817216e+18
1.193519228020468000e+16 -3.230635461000303616e+18
1.212167965427317600e+16 -1.873835690206209024e+18
1.230816702834167000e+16 -5.599933641398475520e+17
1.249465440241016400e+16 5.123368640485936000e+17
1.268114177647866000e+16 1.255607482179439616e+18
1.286762915054715600e+16 1.706411305841768192e+18
1.305411652461565000e+16 1.907889113154959616e+18
1.324060389868414400e+16 1.903181682238399744e+18
1.342709127275264000e+16 1.735429791211465472e+18
1.361357864682113600e+16 1.447774218193537536e+18
1.380006602088963000e+16 1.083355741303999872e+18
