

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2024-11-15T08:00:36PST



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
1|SN 2000dh|  0.26606 |   4.50143 |V*|     1| 0.000004 |SLS |<19.4|  0.000|3|0|5|3|1|0|0
2|NGC 0300 OT| 13.64233 | -37.64128 |VisS|   430| 0.001434 |UUN |<14.2|  0.000|23|0|16|4|1|0|0
3|SN 2002ap| 24.09967 |  15.75357 |SN|   660| 0.002200 |UUN |<14.5|  0.000|230|0|2|8|1|0|0
4|SN 2007gr| 40.86655 |  37.34575 |SN|   518| 0.001728 |UUN |<13.8|  0.000|137|0|15|10|3|0|0
5|SN 1999em| 70.36315 |  -2.86273 |SN|   710| 0.002368 |UUN |<13.5|  0.000|299|0|7|8|1|0|0
6|SN 1987A| 83.86661 | -69.26975 |SN|   670| 0.002235 |UUN |13.2R|  0.000|2201|0|54|7|2|0|0
7|SN 2018zd| 94.51325 |  78.36692 |SN|   893| 0.002980 |SSN |     |  0.000|21|0|0|3|1|0|0
8|SN 2020ukx|138.08567 | -24.17207 |SN|   693| 0.002310 |SSN |     |  0.000|2|0|0|2|1|0|0
9|SN 1999by|140.46742 |  51.00200 |SN|   638| 0.002128 |SLS |13.8 |  0.000|144|0|3|5|1|0|0
10|SN 1993J|148.85323 |  69.02048 |SN|   -34|-0.000113 |UUN |11.35|  0.000|607|0|3|19|4|0|0
11|SN 2014J|148.92557 |  69.67372 |SN|   203| 0.000677 |SLS |     |  0.000|158|0|0|12|1|0|0
12|SN 1999gi|154.56942 |  41.44117 |SN|   592| 0.001975 |UUN |<14.5|  0.000|114|0|5|9|1|0|0
13|SN 2012aw|160.97400 |  11.67164 |SN|   779| 0.002600 |UUN |<15  |  0.000|116|0|0|9|1|0|0
14|SN 1998bu|161.69171 |  11.83542 |SN|   897| 0.002992 |SLS |11.93|  0.000|204|0|4|5|1|0|0
15|SN 1996cb|165.92492 |  28.90381 |SN|   713| 0.002378 |UUN |<16.5|  0.000|58|1|0|3|1|0|0
16|SN 2013am|169.73729 |  13.06372 |SN|   807| 0.002692 |UUN |<15.6|  0.000|32|0|0|8|1|0|0
17|SN 1998S|176.52560 |  47.48204 |SN|   818| 0.002729 |SLS |11.8 |  0.000|172|0|1|9|3|0|0
18|SN 2011by|178.93983 |  55.32606 |SN|   852| 0.002843 |SLS |<14.2|  0.000|54|0|0|7|1|0|0
19|SN 2020rcq|179.31117 |  49.29222 |SN|   776| 0.002590 |SSN |     |  0.000|4|0|0|4|1|0|0
20|SN 2014bi|181.51246 |  47.49264 |SN|   690| 0.002300 |UUN |     |  0.000|7|0|0|7|1|0|0
21|SN 2020nlb|186.35078 |  18.20356 |SN|   728| 0.002430 |SSN |     |  0.000|10|0|0|3|1|0|0
22|SN 2018hna|186.55029 |  58.31411 |SN|   722| 0.002410 |SSN |     |  0.000|9|0|0|3|1|0|0
23|SN 2013df|186.62221 |  31.22731 |SN|   716| 0.002388 |UUN |<14.4|  0.000|65|0|6|5|1|0|0
24|SN 2012cg|186.80346 |   9.42031 |SN|   438| 0.001460 |SLS |<16.9|  0.000|99|0|0|12|1|0|0
25|SN 2020nvb|187.24492 |   3.57278 |SN|   881| 0.002940 |SSN |     |  0.000|5|0|0|3|1|0|0
26|SN 2008ax|187.67000 |  41.63736 |SN|   565| 0.001885 |UUN |<16.1|  0.000|130|0|9|8|2|0|0
27|SN 1994D|188.50998 |   7.70158 |SN|   617| 0.002058 |SLS |11.85|  0.000|258|2|4|6|2|0|0
28|SN 1985F|190.38754 |  41.15165 |SN|   540| 0.001800 |UUN |12.1 |  0.000|80|1|0|8|1|0|1
29|SN 1950C|198.43750 |  36.58361 |SN|   869| 0.002900 |UUN |<18.2|  0.000|14|0|0|3|1|0|2
30|SN 2005cs|202.47021 |  47.17675 |SN|   600| 0.002001 |UUN |<13.5|  0.000|198|0|5|11|1|0|0
31|SN 1994I|202.47530 |  47.19181 |SN|   463| 0.001544 |UUN |<13.5|  0.000|251|0|7|8|3|0|0
32|SN 2011dh|202.52127 |  47.16970 |SN|   463| 0.001544 |UUN |<13.7|  0.000|177|0|1|16|3|0|0
33|SN 1972E|204.97187 | -31.67092 |SN|   407| 0.001358 |SLS | 8.4 |  0.000|188|1|0|2|1|0|0
34|SN 2011fe|210.77429 |  54.27367 |SN|   241| 0.000804 |UUN |<13.8|  0.000|288|0|2|12|11|0|0
35|SN 2004et|308.85567 |  60.12159 |SN|    40| 0.000133 |UUN |<12.8|  0.000|207|0|16|11|1|0|0
36|SN 2014C|339.27333 |  34.40886 |SN|   809| 0.002700 |UUN |     |  0.000|60|0|0|10|1|0|0
